0,10,10,977.84,977,0.83892,99.161,2091.6
0,100,100,58.754,44.447,14.307,85.693,3069.8
0,10,100,53.9,42.961,10.939,89.061,2974.8
0,0,150,37.729,22.878,14.851,85.149,1309.1
5,27,123,35.143,23.628,11.516,88.484,3165.8
10,38,112,34.776,24.116,10.66,89.34,3164.1
15,45,105,38.417,29.975,8.4422,91.558,3158.5
20,51,99,45.442,35.526,9.9151,90.085,3153.6
25,55,95,54.747,44.682,10.065,89.935,3144.8
30,60,90,55.251,45.314,9.9371,90.063,3144.8
35,64,86,68.858,58.847,10.011,89.989,3132.1
40,68,82,75.226,64.685,10.541,89.459,3127
45,71,79,82.903,70.822,12.081,87.919,3121.2
50,75,75,91.227,78.257,12.969,87.031,3022.5
